Designator,Mid X,Mid Y,Layer,Rotation
C1,99.8220mm,-101.6510mm,Top,0
C2,113.1320mm,-67.9450mm,Top,0
C3,54.5490mm,-58.5470mm,Top,180
C4,113.0725mm,-81.9150mm,Top,180
C5,121.9120mm,-62.7380mm,Top,0
D1,67.8500mm,-52.0700mm,Top,0
D2,121.9685mm,-78.4860mm,Top,0
D6,48.3870mm,-39.4485mm,Top,270
F1,58.1660mm,-39.4485mm,Top,270
R1,59.4360mm,-55.0050mm,Top,270
R11,53.3400mm,-39.4735mm,Top,270
R2,113.1570mm,-62.3570mm,Top,180
R3,82.6535mm,-101.5090mm,Top,0
R4,45.5695mm,-58.5470mm,Top,0
R5,50.0615mm,-58.5470mm,Top,0
R6,121.9370mm,-72.3900mm,Top,180
R7,113.1570mm,-76.9620mm,Top,180
R8,121.9370mm,-67.6910mm,Top,0
U1,91.5685mm,-101.2340mm,Top,0
U2,51.9430mm,-52.5780mm,Top,270
