Comment,Designator,Footprint,LCSC
100nF,"C1,C2,C3,C4,C5",Capacitor_SMD:C_0805_2012Metric,C49678
SK26AH,D1,PCM_Diode_SMD_AKL:D_SMA,C86926
BAT54S,D2,Package_TO_SOT_SMD:SOT-23,C7420333
12V,D6,LED_SMD:LED_0805_2012Metric,C2297
1A,F1,Fuse:Fuse_0805_2012Metric,C46640983
0R1,R1,PCM_Resistor_SMD_AKL:R_2512_6332Metric,C46961760
4.7k,"R2,R3,R4,R5,R6,R11",Resistor_SMD:R_0805_2012Metric,C17673
1k,"R7,R8",Resistor_SMD:R_0805_2012Metric,C17513
TMP117xxDRV,U1,Package_SON:WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm,C699536
INA226,U2,Package_SO:TSSOP-10_3x3mm_P0.5mm,C49851
